"column","variable","label","value_labels","class","type","n_na","range"
"134","mrivas_b4_05_full","Cake Small - Full","NULL","numeric","double","4","c(0, 100)"
"135","mrivas_b4_05_like","Cake Small - Like","NULL","numeric","double","4","c(0, 100)"
"136","mrivas_b4_06_full","Chocolate Candy Small - Full","NULL","numeric","double","4","c(0, 100)"
"137","mrivas_b4_06_like","Chocolate Candy Small - Like","NULL","numeric","double","4","c(0, 100)"
"138","mrivas_b5_01_full","Doughnut Small - Full","NULL","numeric","double","4","c(0, 100)"
"139","mrivas_b5_01_like","Doughnut Small - Like","NULL","numeric","double","4","c(0, 100)"
"140","mrivas_b5_02_full","Fruit Candy Chews Small - Full","NULL","numeric","double","4","c(0, 100)"
"141","mrivas_b5_02_like","Fruit Candy Chews Small - Like","NULL","numeric","double","4","c(0, 100)"
"142","mrivas_b5_03_full","Muffin Small - Full","NULL","numeric","double","4","c(0, 100)"
"143","mrivas_b5_03_like","Muffin Small - Like","NULL","numeric","double","4","c(0, 100)"
"144","mrivas_b5_04_full","Rice Treats Small - Full","NULL","numeric","double","4","c(0, 100)"
"145","mrivas_b5_04_like","Rice Treats Small - Like","NULL","numeric","double","4","c(0, 100)"
"146","mrivas_b5_05_full","Sugar Cookie Small - Full","NULL","numeric","double","4","c(0, 100)"
"147","mrivas_b5_05_like","Sugar Cookie Small - Like","NULL","numeric","double","4","c(0, 100)"
"148","mrivas_b5_06_full","Waffle Small - Full","NULL","numeric","double","4","c(0, 100)"
"149","mrivas_b5_06_like","Waffle Small - Like","NULL","numeric","double","4","c(0, 100)"
"150","mrivas_c1_01_full","Cucumbers Large - Full","NULL","numeric","double","4","c(0, 100)"
"151","mrivas_c1_01_like","Cucumbers Large - Like","NULL","numeric","double","4","c(0, 100)"
"152","mrivas_c1_02_full","Green Beans Large - Full","NULL","numeric","double","4","c(0, 100)"
"153","mrivas_c1_02_like","Green Beans Large - Like","NULL","numeric","double","4","c(0, 100)"
"154","mrivas_c1_03_full","Green Salad Large - Full","NULL","numeric","double","4","c(0, 100)"
"155","mrivas_c1_03_like","Green Salad Large - Like","NULL","numeric","double","4","c(0, 100)"
"156","mrivas_c1_04_full","Potatoes Large - Full","NULL","numeric","double","4","c(0, 100)"
"157","mrivas_c1_04_like","Potatoes Large - Like","NULL","numeric","double","4","c(0, 100)"
"158","mrivas_c1_05_full","Peas Large - Full","NULL","numeric","double","4","c(0, 100)"
"159","mrivas_c1_05_like","Peas Large - Like","NULL","numeric","double","4","c(0, 100)"
"160","mrivas_c1_06_full","Red Beans & Rice Large - Full","NULL","numeric","double","4","c(0, 100)"
"161","mrivas_c1_06_like","Red Beans & Rice Large - Like","NULL","numeric","double","4","c(0, 100)"
"162","mrivas_c2_01_full","Red Peppers Large - Full","NULL","numeric","double","4","c(0, 100)"
"163","mrivas_c2_01_like","Red Peppers Large - Like","NULL","numeric","double","4","c(0, 100)"
"164","mrivas_c2_02_full","Tomato Soup Large - Full","NULL","numeric","double","4","c(0, 100)"
"165","mrivas_c2_02_like","Tomato Soup Large - Like","NULL","numeric","double","4","c(0, 100)"
"166","mrivas_c2_03_full","Turkey Large - Full","NULL","numeric","double","4","c(0, 100)"
"167","mrivas_c2_03_like","Turkey Large - Like","NULL","numeric","double","4","c(0, 100)"
"168","mrivas_c2_04_full","Apples Large - Full","NULL","numeric","double","4","c(0, 100)"
"169","mrivas_c2_04_like","Apples Large - Like","NULL","numeric","double","4","c(0, 100)"
"170","mrivas_c2_05_full","Applesauce Large - Full","NULL","numeric","double","4","c(0, 100)"
"171","mrivas_c2_05_like","Applesauce Large - Like","NULL","numeric","double","4","c(0, 100)"
"172","mrivas_c2_06_full","Banana Large - Full","NULL","numeric","double","4","c(0, 100)"
"173","mrivas_c2_06_like","Banana Large - Like","NULL","numeric","double","4","c(0, 100)"
"174","mrivas_c3_01_full","Blueberries Large - Full","NULL","numeric","double","4","c(0, 100)"
"175","mrivas_c3_01_like","Blueberries Large - Like","NULL","numeric","double","4","c(0, 100)"
"176","mrivas_c3_02_full","Canned Fruit Cocktail Large - Full","NULL","numeric","double","4","c(0, 100)"
"177","mrivas_c3_02_like","Canned Fruit Cocktail Large - Like","NULL","numeric","double","4","c(0, 100)"
"178","mrivas_c3_03_full","Cantaloupe Large - Full","NULL","numeric","double","4","c(0, 100)"
"179","mrivas_c3_03_like","Cantaloupe Large - Like","NULL","numeric","double","4","c(0, 100)"
"180","mrivas_c3_04_full","Corn Large - Full","NULL","numeric","double","4","c(0, 100)"
"181","mrivas_c3_04_like","Corn Large - Like","NULL","numeric","double","4","c(0, 100)"
"182","mrivas_c3_05_full","Jello Large - Full","NULL","numeric","double","4","c(0, 100)"
"183","mrivas_c3_05_like","Jello Large - Like","NULL","numeric","double","4","c(0, 100)"
"184","mrivas_c3_06_full","Oranges Large - Full","NULL","numeric","double","4","c(0, 100)"
"185","mrivas_c3_06_like","Oranges Large - Like","NULL","numeric","double","4","c(0, 100)"
"186","mrivas_c4_01_full","Baby Carrots Large - Full","NULL","numeric","double","4","c(0, 100)"
"187","mrivas_c4_01_like","Baby Carrots Large - Like","NULL","numeric","double","4","c(0, 100)"
"188","mrivas_c4_02_full","Broccoli Large - Full","NULL","numeric","double","4","c(0, 100)"
"189","mrivas_c4_02_like","Broccoli Large - Like","NULL","numeric","double","4","c(0, 100)"
"190","mrivas_c4_03_full","Brown Rice Large - Full","NULL","numeric","double","4","c(0, 100)"
"191","mrivas_c4_03_like","Brown Rice Large - Like","NULL","numeric","double","4","c(0, 100)"
"192","mrivas_c4_04_full","Cherry Tomatoes Large - Full","NULL","numeric","double","4","c(0, 100)"
"193","mrivas_c4_04_like","Cherry Tomatoes Large - Like","NULL","numeric","double","4","c(0, 100)"
"194","mrivas_c4_05_full","Chicken Noodle Soup Large - Full","NULL","numeric","double","4","c(0, 100)"
"195","mrivas_c4_05_like","Chicken Noodle Soup Large - Like","NULL","numeric","double","4","c(0, 100)"
"196","mrivas_c4_06_full","Deli Turkey Large - Full","NULL","numeric","double","4","c(0, 100)"
"197","mrivas_c4_06_like","Deli Turkey Large - Like","NULL","numeric","double","4","c(0, 100)"
"198","mrivas_c5_01_full","Pineapple Rings Large - Full","NULL","numeric","double","4","c(0, 100)"
"199","mrivas_c5_01_like","Pineapple Rings Large - Like","NULL","numeric","double","4","c(0, 100)"
"200","mrivas_c5_02_full","Popsicles Large - Full","NULL","numeric","double","4","c(0, 100)"
"201","mrivas_c5_02_like","Popsicles Large - Like","NULL","numeric","double","4","c(0, 100)"
"202","mrivas_c5_03_full","Red Grapes Large - Full","NULL","numeric","double","4","c(0, 100)"
"203","mrivas_c5_03_like","Red Grapes Large - Like","NULL","numeric","double","4","c(0, 100)"
