sub	run	n_vol	n_censor	p_censor	n_vol_blocks	n_censor_blocks	p_censor_blocks	n_vol_food	n_censor_food	p_censor_food
023	3.0	78.0	5.0	6.4	54.0	4.0	7.4	36.0	0.0	0.0
023	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
023	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
112	1.0	78.0	20.0	25.6	54.0	8.0	14.8	36.0	7.0	19.4
112	2.0	78.0	45.0	57.7	54.0	31.0	57.4	36.0	22.0	61.1
112	3.0	78.0	60.0	76.9	54.0	42.0	77.8	36.0	28.0	77.8
035	1.0	77.0	29.0	37.7	54.0	15.0	27.8	36.0	5.0	13.9
035	2.0	78.0	15.0	19.2	54.0	12.0	22.2	36.0	12.0	33.3
035	3.0	78.0	13.0	16.7	54.0	13.0	24.1	36.0	7.0	19.4
035	4.0	77.0	8.0	10.4	54.0	6.0	11.1	36.0	6.0	16.7
003	1.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
003	2.0	78.0	2.0	2.6	54.0	1.0	1.9	36.0	0.0	0.0
003	3.0	78.0	3.0	3.8	54.0	3.0	5.6	36.0	3.0	8.3
003	4.0	78.0	6.0	7.7	54.0	5.0	9.3	36.0	5.0	13.9
003	5.0	78.0	5.0	6.4	54.0	5.0	9.3	36.0	5.0	13.9
124	1.0	78.0	18.0	23.1	54.0	16.0	29.6	36.0	10.0	27.8
124	2.0	78.0	45.0	57.7	54.0	30.0	55.6	36.0	17.0	47.2
124	3.0	78.0	28.0	35.9	54.0	18.0	33.3	36.0	10.0	27.8
124	4.0	78.0	53.0	67.9	54.0	36.0	66.7	36.0	25.0	69.4
124	5.0	78.0	13.0	16.7	54.0	10.0	18.5	36.0	7.0	19.4
118	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
118	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
118	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
118	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
118	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
017	1.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
017	2.0	78.0	3.0	3.8	54.0	1.0	1.9	36.0	0.0	0.0
017	3.0	78.0	9.0	11.5	54.0	5.0	9.3	36.0	2.0	5.6
017	4.0	78.0	11.0	14.1	54.0	9.0	16.7	36.0	4.0	11.1
017	5.0	78.0	4.0	5.1	54.0	0.0	0.0	36.0	0.0	0.0
052	1.0	78.0	54.0	69.2	54.0	37.0	68.5	36.0	29.0	80.6
052	2.0	78.0	37.0	47.4	54.0	21.0	38.9	36.0	15.0	41.7
052	3.0	78.0	54.0	69.2	54.0	32.0	59.3	36.0	22.0	61.1
052	4.0	78.0	75.0	96.2	54.0	53.0	98.1	36.0	35.0	97.2
052	5.0	78.0	69.0	88.5	54.0	46.0	85.2	36.0	31.0	86.1
039	1.0	78.0	18.0	23.1	54.0	9.0	16.7	36.0	7.0	19.4
039	2.0	78.0	13.0	16.7	54.0	9.0	16.7	36.0	9.0	25.0
039	3.0	78.0	22.0	28.2	54.0	14.0	25.9	36.0	12.0	33.3
039	4.0	78.0	10.0	12.8	54.0	5.0	9.3	36.0	0.0	0.0
039	5.0	78.0	41.0	52.6	54.0	28.0	51.9	36.0	18.0	50.0
115	1.0	78.0	7.0	9.0	54.0	2.0	3.7	36.0	2.0	5.6
115	2.0	78.0	15.0	19.2	54.0	11.0	20.4	36.0	6.0	16.7
115	3.0	78.0	21.0	26.9	54.0	19.0	35.2	36.0	16.0	44.4
115	4.0	78.0	23.0	29.5	54.0	18.0	33.3	36.0	14.0	38.9
115	5.0	78.0	16.0	20.5	54.0	13.0	24.1	36.0	7.0	19.4
069	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
069	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
069	3.0	78.0	5.0	6.4	54.0	1.0	1.9	36.0	1.0	2.8
069	4.0	78.0	6.0	7.7	54.0	5.0	9.3	36.0	2.0	5.6
069	5.0	78.0	4.0	5.1	54.0	3.0	5.6	36.0	2.0	5.6
127	1.0	78.0	17.0	21.8	54.0	13.0	24.1	36.0	9.0	25.0
127	2.0	78.0	8.0	10.3	54.0	8.0	14.8	36.0	7.0	19.4
127	3.0	78.0	33.0	42.3	54.0	19.0	35.2	36.0	13.0	36.1
127	4.0	78.0	25.0	32.1	54.0	12.0	22.2	36.0	7.0	19.4
127	5.0	78.0	25.0	32.1	54.0	18.0	33.3	36.0	9.0	25.0
